0.0 	0.003 	7.4 	0.017 	16.1 	0.012 	23.8 	0.199
0.5 	0.004 	7.7 	0.023 	16.5 	0.018 	24.0 	0.210
0.7 	0.004 	8.0 	0.029 	16.8 	0.026 	24.1 	0.216
1.0 	0.005 	8.3 	0.039 	17.1 	0.036 	24.3 	0.218
1.4 	0.005 	8.7 	0.055 	17.4 	0.052 	24.4 	0.210
1.7 	0.005 	9.1 	0.068 	17.8 	0.078 	24.9 	0.167
2.0 	0.005 	9.5 	0.081 	18.3 	0.113 	25.4 	0.095
2.4 	0.006 	9.6 	0.082 	18.5 	0.128 	25.7 	0.070
2.6 	0.005 	9.7 	0.075 	18.7 	0.152 	26.0 	0.052
2.9 	0.005 	9.8 	0.067 	18.8 	0.157 	26.4 	0.045
3.3 	0.005 	9.9 	0.059 	18.9 	0.164 	26.8 	0.053
3.6 	0.005 	10.2 	0.026 	19.2 	0.182 	27.2 	0.073
3.8 	0.006 	10.6 	0.013 	19.3 	0.181 	27.6 	0.098
4.1 	0.006 	11.0 	0.008 	19.4 	0.180 	28.1 	0.139
4.4 	0.008 	11.4 	0.010 	19.5 	0.172 	28.6 	0.198
4.5 	0.008 	11.8 	0.016 	19.6 	0.158 	28.9 	0.226
4.6 	0.010 	12.2 	0.025 	20.1 	0.090 	29.1 	0.242
4.9 	0.011 	12.6 	0.042 	20.4 	0.054 	29.3 	0.246
5.1 	0.010 	13.0 	0.057 	20.7 	0.035 	29.4 	0.244
5.2 	0.009 	13.4 	0.084 	21.0 	0.028 	29.5 	0.242
5.4 	0.007 	13.8 	0.111 	21.3 	0.026 	29.7 	0.229
5.7 	0.007 	14.2 	0.135 	21.7 	0.033 	30.1 	0.192
6.0 	0.006 	14.6 	0.124 	22.0 	0.047 	30.5 	0.130
6.3 	0.006 	14.7 	0.114 	22.4 	0.067 	30.8 	0.106
6.6 	0.007 	15.0 	0.067 	22.9 	0.105 	31.3 	0.080
6.9 	0.010 	15.3 	0.040 	23.4 	0.153 	31.8 	0.078
7.2 	0.013 	15.7 	0.018 	23.7 	0.181 	31.9 	0.080
